Rank,Year,Position,Name,Age,Wins,Losses,Winning_Percentage,Earned_Run_Average,Games_Played,Games_Started,Games_Finished,Complete_Games,Shutouts,Saves,Innings_Pitched,Hits_Allowed,Runs_Allowed,Earned_Runs,Home_Runs_Allowed,Walks_Allowed,Intentional_Walks_Allowed,Strikeouts,Hit_By_Pitch,Balks,Wild_Pitches,Batters_Faced,Adjusted_Earned_Run_Average,Fielding_Independent_Pitching,Walks_Hits_Per_Inning_Pitched,Hits_Per_Nine_Innings,Home_Runs_Per_Nine_Innings,Walks_Per_Nine_Innings,Strikeouts_Per_Nine_Innings,Strikeout_Walk_Ratio,Dominant_Hand,Switch_Hitter
14,1965,,Bill Hands,25,0,2,0.0,16.5,4,2,0,0,0,0,6.0,13,11,11,0,6,2,5,0,0,0,36,23,3.85,3.167,19.5,0.0,9.0,7.5,0.83,Right,No
15,1965,,Matty Alou,26,0,0,0.0,0.0,1,0,1,0,0,0,2.0,3,0,0,0,1,0,3,0,0,0,10,0,1.02,2.0,13.5,0.0,4.5,13.5,3.0,Left,No
16,1965,,Jim Duffalo,29,0,1,0.0,27.0,2,0,1,0,0,0,0.1,1,1,1,0,2,0,0,0,0,0,4,30,20.52,9.0,27.0,0.0,54.0,0.0,0.0,Right,No
1,1964,SP,Juan Marichal,26,21,8,0.724,2.48,33,33,0,22,4,0,269.0,241,89,74,18,52,8,206,1,2,4,1089,143,2.53,1.089,8.1,0.6,1.7,6.9,3.96,Right,No
2,1964,SP,Bobby Bolin,25,6,9,0.4,3.25,38,23,4,5,3,1,174.2,143,71,63,16,77,3,146,10,1,5,743,109,3.62,1.26,7.4,0.8,4.0,7.5,1.9,Right,No
3,1964,SP,Bob Hendley,25,10,11,0.476,3.64,30,29,1,4,1,1,163.1,161,71,66,18,59,9,104,2,1,0,696,97,3.88,1.347,8.9,1.0,3.3,5.7,1.76,Left,No
4,1964,SP,Ron Herbel,26,9,9,0.5,3.07,40,22,8,7,2,1,161.0,162,65,55,7,61,9,98,3,0,7,698,115,3.15,1.385,9.1,0.4,3.4,5.5,1.61,Right,No
5,1964,SP,Jack Sanford,35,5,7,0.417,3.3,18,17,1,3,1,1,106.1,91,44,39,7,37,3,64,4,1,1,447,108,3.41,1.204,7.7,0.6,3.1,5.4,1.73,Right,No
6,1964,CL,Bob Shaw,31,7,6,0.538,3.76,61,1,27,0,0,11,93.1,105,43,39,5,31,6,57,5,0,4,412,94,3.24,1.457,10.1,0.5,3.0,5.5,1.84,Right,No
7,1964,RP,Gaylord Perry,25,12,11,0.522,2.75,44,19,11,5,2,4,206.1,179,65,63,16,43,6,155,5,0,5,832,129,2.81,1.076,7.8,0.7,1.9,6.8,3.6,Right,No
8,1964,RP,Billy O'Dell,31,8,7,0.533,5.4,36,8,13,1,0,3,85.0,82,55,51,10,35,6,54,4,0,1,371,66,4.24,1.376,8.7,1.1,3.7,5.7,1.54,Left,No
9,1964,RP,Jim Duffalo,28,5,1,0.833,2.92,35,3,19,1,0,3,74.0,57,25,24,9,31,4,55,2,0,4,311,122,4.04,1.189,6.9,1.1,3.8,6.7,1.77,Right,No
10,1964,RP,Billy Pierce,37,3,0,1.0,2.2,34,1,14,0,0,4,49.0,40,14,12,6,10,1,29,0,0,1,195,162,3.63,1.02,7.3,1.1,1.8,5.3,2.9,Left,No
11,1964,,Dick Estelle,22,1,2,0.333,3.02,6,6,0,0,0,0,41.2,39,15,14,3,23,0,23,0,0,0,185,118,4.09,1.488,8.4,0.6,5.0,5.0,1.0,Left,No
12,1964,,John Pregenzer,31,2,0,1.0,4.91,13,0,5,0,0,0,18.1,21,15,10,1,11,3,8,1,0,2,86,74,4.41,1.745,10.3,0.5,5.4,3.9,0.73,Right,No
13,1964,,Masanori Murakami,20,1,0,1.0,1.8,9,0,5,0,0,1,15.0,8,3,3,1,1,0,15,0,1,0,53,202,1.67,0.6,4.8,0.6,0.6,9.0,15.0,Left,No
14,1964,,Don Larsen,34,0,1,0.0,4.35,6,0,3,0,0,0,10.1,10,5,5,0,6,1,6,0,0,0,46,85,3.19,1.548,8.7,0.0,5.2,5.2,1.0,Right,No
15,1964,,Ken MacKenzie,30,0,0,0.0,5.0,10,0,3,0,0,1,9.0,9,7,5,1,3,0,3,0,0,0,41,74,4.38,1.333,9.0,1.0,3.0,3.0,1.0,Left,No
1,1963,SP,Juan Marichal,25,25,8,0.758,2.41,41,40,1,18,5,0,321.1,259,102,86,27,61,6,248,2,3,2,1270,133,2.62,0.996,7.3,0.8,1.7,6.9,4.07,Right,No
2,1963,SP,Jack Sanford,34,16,13,0.552,3.51,42,42,0,11,0,0,284.1,273,123,111,21,76,8,158,5,4,4,1184,91,3.18,1.227,8.6,0.7,2.4,5.0,2.08,Right,No
3,1963,SP,Billy O'Dell,30,14,10,0.583,3.16,36,33,1,10,3,1,222.1,218,90,78,14,70,12,116,7,0,6,951,101,3.29,1.295,8.8,0.6,2.8,4.7,1.66,Left,No
4,1963,CL,Bobby Bolin,24,10,6,0.625,3.28,47,12,17,2,0,7,137.1,128,73,50,13,57,4,134,7,0,8,604,98,3.16,1.347,8.4,0.9,3.7,8.8,2.35,Right,No
5,1963,RP,Jack Fisher,24,6,10,0.375,4.58,36,12,9,2,0,1,116.0,132,77,59,12,38,3,57,5,1,2,517,70,3.95,1.466,10.2,0.9,2.9,4.4,1.5,Right,No
6,1963,RP,Billy Pierce,36,3,11,0.214,4.27,38,13,13,3,1,7,99.0,106,49,47,12,20,1,52,1,2,3,420,75,3.64,1.273,9.6,1.1,1.8,4.7,2.6,Left,No
7,1963,RP,Jim Duffalo,27,4,2,0.667,2.87,34,5,16,0,0,2,75.1,56,26,24,3,37,6,55,2,0,2,314,112,3.09,1.235,6.7,0.4,4.4,6.6,1.49,Right,No
8,1963,RP,Don Larsen,33,7,7,0.5,3.05,46,0,26,0,0,4,62.0,46,23,21,8,30,9,44,0,0,4,261,105,4.19,1.226,6.7,1.2,4.4,6.4,1.47,Right,No
9,1963,,Gaylord Perry,24,1,6,0.143,4.03,31,4,6,0,0,2,76.0,84,41,34,10,29,7,52,2,1,4,340,80,4.04,1.487,9.9,1.2,3.4,6.2,1.79,Right,No
10,1963,,Billy Hoeft,31,2,0,1.0,4.44,23,0,9,0,0,4,24.1,26,12,12,5,10,2,8,0,0,1,108,73,5.73,1.479,9.6,1.8,3.7,3.0,0.8,Left,No
11,1963,,Frank Linzy,22,0,0,0.0,4.86,8,1,6,0,0,0,16.2,22,9,9,0,10,0,14,1,0,1,80,68,2.78,1.92,11.9,0.0,5.4,7.6,1.4,Right,No
12,1963,,Al Stanek,19,0,0,0.0,4.73,11,0,4,0,0,0,13.1,10,7,7,1,12,2,5,0,0,1,61,70,5.4,1.65,6.8,0.7,8.1,3.4,0.42,Left,No
13,1963,,John Pregenzer,30,0,0,0.0,4.82,6,0,4,0,0,1,9.1,8,5,5,0,8,2,5,1,1,0,43,70,4.3,1.714,7.7,0.0,7.7,4.8,0.63,Right,No
14,1963,,Bob Garibaldi,21,0,1,0.0,1.13,4,0,3,0,0,1,8.0,8,2,1,0,4,2,4,1,0,0,34,301,3.35,1.5,9.0,0.0,4.5,4.5,1.0,Right,No
15,1963,,Jim Constable,30,0,0,0.0,3.86,4,0,0,0,0,0,2.1,3,1,1,0,1,0,1,0,0,1,11,100,2.91,1.714,11.6,0.0,3.9,3.9,1.0,Left,No
16,1963,,Ron Herbel,25,0,0,0.0,6.75,2,0,1,0,0,0,1.1,1,1,1,0,1,0,1,0,0,1,6,64,3.23,1.5,6.8,0.0,6.8,6.8,1.0,Right,No
1,1962,SP,Billy O'Dell,29,19,14,0.576,3.53,43,39,1,20,2,0,280.2,282,126,110,18,66,1,195,7,0,4,1178,109,2.84,1.24,9.0,0.6,2.1,6.3,2.95,Left,No
2,1962,SP,Jack Sanford,33,24,7,0.774,3.43,39,38,1,13,2,0,265.1,233,110,101,23,92,4,147,3,2,4,1100,112,3.71,1.225,7.9,0.8,3.1,5.0,1.6,Right,No
3,1962,SP,Juan Marichal,24,18,11,0.621,3.36,37,36,1,18,3,1,262.2,233,112,98,34,90,5,153,3,1,3,1101,114,4.2,1.23,8.0,1.2,3.1,5.2,1.7,Right,No
4,1962,SP,Billy Pierce,35,16,6,0.727,3.49,30,23,2,7,2,1,162.1,147,67,63,19,35,2,76,3,1,2,657,110,3.9,1.121,8.1,1.1,1.9,4.2,2.17,Left,No
5,1962,SP,Mike McCormick,23,5,5,0.5,5.38,28,15,4,1,0,0,98.2,112,64,59,18,45,2,42,1,0,1,447,71,5.54,1.591,10.2,1.6,4.1,3.8,0.93,Left,No
6,1962,CL,Stu Miller,34,5,8,0.385,4.12,59,0,41,0,0,19,107.0,107,55,49,8,42,7,78,2,0,5,461,93,3.36,1.393,9.0,0.7,3.5,6.6,1.86,Right,No
7,1962,RP,Bobby Bolin,23,7,3,0.7,3.62,41,5,17,2,0,6,92.0,84,41,37,10,35,5,74,5,0,2,394,106,3.73,1.293,8.2,1.0,3.4,7.2,2.11,Right,No
8,1962,RP,Don Larsen,32,5,4,0.556,4.38,49,0,25,0,0,10,86.1,83,44,42,9,47,7,58,2,0,6,380,88,4.33,1.506,8.7,0.9,4.9,6.0,1.23,Right,No
9,1962,RP,Gaylord Perry,23,3,1,0.75,5.23,13,7,1,1,0,0,43.0,54,29,25,3,14,2,20,0,0,3,195,74,3.57,1.581,11.3,0.6,2.9,4.2,1.43,Right,No
10,1962,RP,Jim Duffalo,26,1,2,0.333,3.64,24,2,3,0,0,0,42.0,42,27,17,3,23,3,29,0,0,1,191,106,3.81,1.548,9.0,0.6,4.9,6.2,1.26,Right,No
11,1962,,Bob Garibaldi,20,0,0,0.0,5.11,9,0,5,0,0,1,12.1,13,7,7,1,5,0,9,0,0,1,55,77,3.43,1.459,9.5,0.7,3.6,6.6,1.8,Right,No
12,1962,,Dick LeMay,23,0,1,0.0,7.71,9,0,2,0,0,1,9.1,9,8,8,2,9,1,5,0,1,2,45,52,7.22,1.929,8.7,1.9,8.7,4.8,0.56,Left,No
1,1961,SP,Mike McCormick,22,13,16,0.448,3.2,40,35,3,13,3,0,250.0,235,99,89,33,75,3,163,2,0,4,1033,118,3.91,1.24,8.5,1.2,2.7,5.9,2.17,Left,No
2,1961,SP,Jack Sanford,32,13,9,0.591,4.22,38,33,1,6,0,0,217.1,203,114,102,22,87,7,112,5,4,3,923,90,4.13,1.334,8.4,0.9,3.6,4.6,1.29,Right,No
3,1961,SP,Juan Marichal,23,13,10,0.565,3.89,29,27,2,9,3,0,185.0,183,88,80,24,48,5,124,2,1,7,769,98,3.73,1.249,8.9,1.2,2.3,6.0,2.58,Right,No
4,1961,SP,Billy Loes,31,6,5,0.545,4.24,26,18,2,3,1,0,114.2,114,62,54,13,39,4,55,5,1,0,494,90,4.24,1.334,8.9,1.0,3.1,4.3,1.41,Right,No
5,1961,CL,Stu Miller,33,14,5,0.737,2.66,63,0,46,0,0,17,122.0,95,41,36,4,37,11,89,1,0,0,487,143,2.48,1.082,7.0,0.3,2.7,6.6,2.41,Right,No
6,1961,RP,Billy O'Dell,28,7,5,0.583,3.59,46,14,9,4,1,2,130.1,132,63,52,10,33,6,110,1,0,2,554,106,2.67,1.266,9.1,0.7,2.3,7.6,3.33,Left,No
7,1961,RP,Sam Jones,35,8,8,0.5,4.49,37,17,10,2,0,1,128.1,134,72,64,12,57,7,105,8,0,7,579,85,3.67,1.488,9.4,0.8,4.0,7.4,1.84,Right,No
8,1961,RP,Dick LeMay,22,3,6,0.333,3.56,27,5,11,1,0,3,83.1,65,35,33,11,36,7,54,4,1,3,348,107,4.43,1.212,7.0,1.2,3.9,5.8,1.5,Left,No
9,1961,RP,Bobby Bolin,22,2,2,0.5,3.19,37,1,18,0,0,5,48.0,37,20,17,6,37,8,48,3,1,4,224,120,4.7,1.542,6.9,1.1,6.9,9.0,1.3,Right,No
10,1961,,Jim Duffalo,25,5,1,0.833,4.23,24,4,7,1,0,1,61.2,59,31,29,9,32,7,37,2,0,1,271,90,4.93,1.476,8.6,1.3,4.7,5.4,1.16,Right,No
11,1961,,Eddie Fisher,24,0,2,0.0,5.35,15,1,5,0,0,1,33.2,36,23,20,7,9,3,16,0,0,1,146,72,5.13,1.337,9.6,1.9,2.4,4.3,1.78,Right,No
12,1961,,Dom Zanni,29,1,0,1.0,3.95,8,0,2,0,0,0,13.2,13,7,6,1,12,2,11,0,0,1,63,99,4.55,1.829,8.6,0.7,7.9,7.2,0.92,Right,No
1,1960,SP,Mike McCormick,21,15,12,0.556,2.7,40,34,6,15,4,3,253.0,228,87,76,15,65,12,154,1,0,12,1033,130,2.86,1.158,8.1,0.5,2.3,5.5,2.37,Left,No
2,1960,SP,Sam Jones,34,18,14,0.563,3.19,39,35,3,13,3,0,234.0,200,112,83,18,91,5,190,4,0,8,978,110,3.12,1.244,7.7,0.7,3.5,7.3,2.09,Right,No
3,1960,SP,Jack Sanford,31,12,14,0.462,3.82,37,34,2,11,6,0,219.0,199,111,93,11,99,6,125,2,3,15,940,92,3.42,1.361,8.2,0.5,4.1,5.1,1.26,Right,No
4,1960,SP,Billy O'Dell,27,8,13,0.381,3.2,43,24,6,6,1,2,202.2,198,80,72,16,72,8,145,2,2,4,873,110,3.22,1.332,8.8,0.7,3.2,6.4,2.01,Left,No
5,1960,SP,Juan Marichal,22,6,2,0.75,2.66,11,11,0,6,1,0,81.1,59,29,24,5,28,1,58,0,2,3,328,132,2.93,1.07,6.5,0.6,3.1,6.4,2.07,Right,No
6,1960,CL,Johnny Antonelli,30,6,7,0.462,3.77,41,10,19,1,1,11,112.1,106,51,47,7,47,10,57,2,0,1,480,93,3.63,1.362,8.5,0.6,3.8,4.6,1.21,Left,No
7,1960,RP,Stu Miller,32,7,6,0.538,3.9,47,3,16,2,0,2,101.2,100,49,44,9,31,5,65,3,0,0,437,90,3.4,1.289,8.9,0.8,2.7,5.8,2.1,Right,No
8,1960,RP,Georges Maranda,28,1,4,0.2,4.62,17,4,4,0,0,0,50.2,50,32,26,6,30,7,28,0,0,1,230,76,4.74,1.579,8.9,1.1,5.3,5.0,0.93,Right,No
9,1960,RP,Billy Loes,30,3,2,0.6,4.93,37,0,21,0,0,5,45.2,40,26,25,9,17,2,28,4,0,1,190,72,5.24,1.248,7.9,1.8,3.4,5.5,1.65,Right,No
10,1960,RP,Bud Byerly,40,1,0,1.0,5.32,19,0,9,0,0,2,22.0,32,14,13,3,6,0,13,1,0,1,106,67,4.07,1.727,13.1,1.2,2.5,5.3,2.17,Right,No
11,1960,,Sherman Jones,25,1,1,0.5,3.09,16,0,8,0,0,1,32.0,37,17,11,3,11,1,10,1,0,0,143,115,4.25,1.5,10.4,0.8,3.1,2.8,0.91,Right,No
12,1960,,Joe Shipley,25,0,0,0.0,5.4,15,0,6,0,0,0,20.0,20,13,12,2,9,1,9,3,1,1,87,66,4.73,1.45,9.0,0.9,4.1,4.1,1.0,Right,No
13,1960,,Eddie Fisher,23,1,0,1.0,3.55,3,1,0,1,0,0,12.2,11,5,5,2,2,0,7,0,0,0,50,102,3.95,1.026,7.8,1.4,1.4,5.0,3.5,Right,No
14,1960,,Don Choate,21,0,0,0.0,2.25,4,0,1,0,0,0,8.0,7,4,2,0,4,0,7,0,0,1,34,164,2.28,1.375,7.9,0.0,4.5,7.9,1.75,Right,No
15,1960,,Ramon Monzant,27,0,0,0.0,9.0,1,0,0,0,0,0,1.0,1,1,1,1,0,0,1,0,0,0,4,56,13.53,1.0,9.0,9.0,0.0,9.0,0.0,Right,No
1,1959,SP,Johnny Antonelli,29,19,10,0.655,3.1,40,38,1,17,4,1,282.0,247,107,97,29,76,6,165,3,0,1,1150,123,3.55,1.145,7.9,0.9,2.4,5.3,2.17,Left,No
2,1959,SP,Sam Jones,33,21,15,0.583,2.83,50,35,12,16,4,5,270.2,232,99,85,18,109,6,209,8,0,5,1148,134,3.16,1.26,7.7,0.6,3.6,6.9,1.92,Right,No
3,1959,SP,Mike McCormick,20,12,16,0.429,3.99,47,31,9,7,3,4,225.2,213,117,100,24,86,13,151,1,0,9,972,95,3.74,1.325,8.5,1.0,3.4,6.0,1.76,Left,No
4,1959,SP,Jack Sanford,30,15,12,0.556,3.16,36,31,2,10,0,1,222.1,198,90,78,22,70,4,132,7,2,7,933,120,3.68,1.205,8.0,0.9,2.8,5.3,1.89,Right,No
5,1959,CL,Stu Miller,31,8,7,0.533,2.84,59,9,29,2,0,8,167.2,164,66,53,15,57,13,95,5,0,1,716,134,3.68,1.318,8.8,0.8,3.1,5.1,1.67,Right,No
6,1959,RP,Al Worthington,30,2,3,0.4,3.68,42,3,15,0,0,3,73.1,68,34,30,8,37,4,45,5,0,4,323,103,4.45,1.432,8.3,1.0,4.5,5.5,1.22,Right,No
7,1959,RP,Gordon Jones,29,3,2,0.6,4.33,31,0,10,0,0,2,43.2,45,23,21,6,19,5,29,1,0,0,192,88,4.38,1.466,9.3,1.2,3.9,6.0,1.53,Right,No
8,1959,RP,Eddie Fisher,22,2,6,0.25,7.88,17,5,6,0,0,1,40.0,57,37,35,8,8,0,15,1,0,0,181,49,5.07,1.625,12.8,1.8,1.8,3.4,1.88,Right,No
9,1959,RP,Bud Byerly,39,1,0,1.0,1.38,11,0,6,0,0,0,13.0,11,2,2,2,5,1,4,0,0,0,52,282,5.08,1.231,7.6,1.4,3.5,2.8,0.8,Right,No
10,1959,,Joe Shipley,24,0,0,0.0,4.5,10,1,7,0,0,0,18.0,16,11,9,2,17,0,11,1,0,1,87,86,5.77,1.833,8.0,1.0,8.5,5.5,0.65,Right,No
11,1959,,Dom Zanni,27,0,0,0.0,6.55,9,0,3,0,0,0,11.0,12,10,8,2,8,0,11,1,0,1,54,60,5.36,1.818,9.8,1.6,6.5,9.0,1.38,Right,No
12,1959,,Billy Muffett,28,0,0,0.0,5.4,5,0,2,0,0,0,6.2,11,6,4,2,3,1,3,0,0,0,31,74,6.89,2.1,14.9,2.7,4.1,4.1,1.0,Right,No
13,1959,,Marshall Renfroe,23,0,0,0.0,27.0,1,1,0,0,0,0,2.0,3,6,6,1,3,0,3,0,0,0,12,17,10.54,3.0,13.5,4.5,13.5,13.5,1.0,Left,No
14,1959,,Curt Barclay,27,0,0,0.0,54.0,1,0,0,0,0,0,0.1,2,5,2,0,2,0,0,0,0,0,6,16,20.54,12.0,54.0,0.0,54.0,0.0,0.0,Right,No
1,1958,SP,Johnny Antonelli,28,16,13,0.552,3.28,41,34,5,13,0,3,241.2,216,101,88,31,87,7,143,3,0,4,1014,117,4.08,1.254,8.0,1.2,3.2,5.3,1.64,Left,No
2,1958,SP,Rubén Gómez,30,10,12,0.455,4.38,42,30,6,8,1,1,207.2,204,107,101,21,77,3,112,8,0,3,884,88,3.94,1.353,8.8,0.9,3.3,4.9,1.45,Right,No
3,1958,SP,Mike McCormick,19,11,8,0.579,4.59,42,28,5,8,2,1,178.1,192,103,91,20,60,6,82,3,0,6,773,84,4.07,1.413,9.7,1.0,3.0,4.1,1.37,Left,No
4,1958,CL,Marv Grissom,40,7,5,0.583,3.99,51,0,35,0,0,11,65.1,71,34,29,11,26,7,46,5,0,3,285,97,4.68,1.485,9.8,1.5,3.6,6.3,1.77,Right,No
5,1958,RP,Stu Miller,30,6,9,0.4,2.47,41,20,7,4,1,0,182.0,160,60,50,16,49,3,119,2,1,2,744,155,3.15,1.148,7.9,0.8,2.4,5.9,2.43,Right,No
6,1958,RP,Al Worthington,29,11,7,0.611,3.63,54,12,17,1,0,6,151.1,152,72,61,17,57,6,76,2,0,3,666,106,4.1,1.381,9.0,1.0,3.4,4.5,1.33,Right,No
7,1958,RP,Ramon Monzant,25,8,11,0.421,4.72,43,16,10,4,1,1,150.2,160,89,79,20,57,5,93,6,0,4,663,81,4.22,1.44,9.6,1.2,3.4,5.6,1.63,Right,No
8,1958,RP,Paul Giel,25,4,5,0.444,4.7,29,9,7,0,0,0,92.0,89,56,48,12,55,4,55,2,2,2,410,82,4.83,1.565,8.7,1.2,5.4,5.4,1.0,Right,No
9,1958,,Gordon Jones,28,3,1,0.75,2.37,11,1,4,0,0,1,30.1,33,11,8,2,5,1,8,1,1,0,125,164,3.4,1.253,9.8,0.6,1.5,2.4,1.6,Right,No
10,1958,,Ray Crone,26,1,2,0.333,6.75,14,1,6,0,0,0,24.0,35,18,18,5,13,0,7,0,0,3,116,58,6.23,2.0,13.1,1.9,4.9,2.6,0.54,Right,No
11,1958,,Don Johnson,31,0,1,0.0,6.26,17,0,6,0,0,1,23.0,31,19,16,2,8,1,14,2,0,2,108,62,3.69,1.696,12.1,0.8,3.1,5.5,1.75,Right,No
12,1958,,Curt Barclay,26,1,0,1.0,2.81,6,1,2,0,0,0,16.0,16,5,5,3,5,3,6,3,0,0,70,140,5.66,1.313,9.0,1.7,2.8,3.4,1.2,Right,No
13,1958,,Pete Burnside,27,0,0,0.0,6.75,6,1,3,0,0,0,10.2,20,10,8,3,5,0,4,0,0,0,55,59,6.79,2.344,16.9,2.5,4.2,3.4,0.8,Left,No
14,1958,,Jim Constable,25,1,0,1.0,5.63,9,0,3,0,0,1,8.0,10,6,5,1,3,0,4,0,1,0,35,72,4.23,1.625,11.3,1.1,3.4,4.5,1.33,Left,No
15,1958,,Dom Zanni,26,1,0,1.0,2.25,1,0,0,0,0,0,4.0,7,1,1,1,1,0,3,0,0,0,18,187,4.98,2.0,15.8,2.3,2.3,6.8,3.0,Right,No
16,1958,,John Fitzgerald,24,0,0,0.0,3.0,1,1,0,0,0,0,3.0,1,1,1,1,1,0,3,0,0,0,10,145,5.81,0.667,3.0,3.0,3.0,9.0,3.0,Left,No
17,1958,,Joe Shipley,23,0,0,0.0,33.75,1,0,0,0,0,0,1.1,3,5,5,0,3,0,0,2,0,1,12,15,13.73,4.5,20.3,0.0,20.3,0.0,0.0,Right,No
